Latitude,Longitude,Sessions
-40.7606,145.2955,1.00154
-40.8459,145.125,1.00154
-40.9897,145.7262,1.00540
-41.0558,145.9038,1.01465
-41.1056,146.8261,1.00309
-41.1226,146.0732,1.00077
-41.148,145.833,1.00000
-41.1578,147.5173,1.00540
-41.1603,146.1824,1.00231
-41.175,146.3188,1.00000
-41.1769,146.3515,1.11415
-41.1879,146.3866,1.00231
-41.2352,146.3511,1.00077
-41.2464,146.4246,1.00309
-41.3203,148.2389,1.00077
-41.396,147.1319,1.00463
-41.3995,146.339,1.00154
-41.4167,146.9333,1.00000
-41.4388,147.1347,2.17079
-41.4388,147.1347,1.00000
-41.4388,147.1347,1.00000
-41.4388,147.1347,1.00154
-41.4388,147.1347,1.00000
-41.456,148.261,1.00000
-41.4713,147.1595,1.00077
-41.5006,147.0736,1.00077
-41.5159,145.2148,1.00000
-41.5248,146.657,1.00154
-41.5291,146.8391,1.00077
-41.5723,147.171,1.00000
-41.6051,147.1189,1.00309
-41.6164,146.4238,1.00154
-41.8743,148.3024,1.00000
-42.1228,148.0743,1.00000
-42.6648,147.4232,1.00154
-42.75,147.0667,1.00000
-42.7667,147.25,1.00000
-42.7826,147.0587,1.00463
-42.8125,147.3547,1.00000
-42.8288,147.273,1.01234
-42.8425,147.2959,1.06324
-42.8472,147.3563,1.00231
-42.8509,147.3039,1.01465
-42.8586,147.5053,1.00077
-42.862,147.6552,1.00077
-42.8741,147.316,1.00154
-42.8755,147.3703,1.00154
-42.8794,147.3294,10.00000
-42.8794,147.3294,1.00231
-42.8794,147.3294,1.00848
-42.8794,147.3294,1.00154
-42.8794,147.3294,1.00617
-42.8794,147.3294,1.00463
-42.8794,147.3294,1.00077
-42.8794,147.3294,1.00154
-42.8794,147.3294,1.00154
-42.8794,147.3294,1.00077
-42.8794,147.3294,1.00463
-42.8794,147.3294,1.00000
-42.8794,147.3294,1.00154
-42.8794,147.3294,1.00154
-42.8794,147.3294,1.00077
-42.8933,147.317,1.00077
-42.8945,147.3244,1.00000
-42.8962,147.4453,1.00077
-42.9073,147.4938,1.00077
-42.9333,147.5,1.00077
-42.9567,147.3407,1.00077
-42.9578,147.5315,1.00000
-42.9764,147.3035,1.00309
-43.0017,147.3189,1.00000
-43.0281,147.2626,1.00231
-43.0312,147.0481,1.00077
-43.0971,147.7433,1.02082
-43.1323,146.9763,1.00000
-43.1458,147.8437,1.01543
-43.45,169.8833,1.00000
-40.7895,-74.0565,1.00000
